ChaosPerDay,TotalChaos,lag_1,lag_2,lag_3,rolling_min,rolling_mean,rolling_max,gen_rolling_min,gen_rolling_mean,gen_rolling_max,DailyReturn,DailyPercentReturn,Date,Confidence,DayOfLeague,WeekOfLeague,LeaguePeriod,Month,Value
0.3152397907028411,0.7290594057133968,0.5021911744968284,0.504417475227976,0.5052653890708837,0.5110673809776657,0.5131107281790839,0.4720769303102792,0.5130742508755337,0.515711743466844,0.4775050564089105,0.46172042766785454,0.14205037183084662,2022-11-13,0,86,13,2,11,150.38994
0.3093334594898864,0.7344560994099333,0.5031078353983321,0.5062349734987617,0.5021091463763041,0.5115208366458518,0.513539471236974,0.4720769303102792,0.5130742508755337,0.5152601812516425,0.4775050564089105,0.46080743365726534,0.1418625002405915,2022-11-14,0,87,13,2,11,150.54806
0.3035817167587071,0.7397906023210343,0.503636803033622,0.5021911744968284,0.5018918320733163,0.5097974860649315,0.5126741934909769,0.4720769303102792,0.5117993693133502,0.5149555061015757,0.4775050564089105,0.4526863641441436,0.14020004570052907,2022-11-15,0,88,13,2,11,149.67534
0.2979805268874714,0.7450645423012557,0.5007172442512405,0.5031078353983321,0.5018033474163885,0.5097974860649315,0.5119589515641834,0.46929902168185134,0.5117993693133502,0.5150625611118518,0.4775050564089105,0.4653527872196908,0.14279946720084039,2022-11-16,0,89,13,2,11,150.41042
0.2925259578388462,0.7502795046899539,0.5031763482820327,0.503636803033622,0.504417475227976,0.5097974860649315,0.5118682604305462,0.46929902168185134,0.5117993693133502,0.5146854996401894,0.4775050564089105,0.4563284137696105,0.14094487955725435,2022-11-17,0,90,13,2,11,150.0
0.2872141788015363,0.7554370334057935,0.5018033474163885,0.5007172442512405,0.5062349734987617,0.5097974860649315,0.5115632134138077,0.46929902168185134,0.5117993693133502,0.5140199213787441,0.4775050564089105,0.4595617471186999,0.14160727027349534,2022-11-18,0,91,13,2,11,150.0
0.2820414578334314,0.760538632015771,0.5018033474163885,0.5031763482820327,0.5021911744968284,0.5090618967182646,0.5107333735040372,0.4688067132499749,0.5110608914393152,0.513144125199361,0.47449229619927813,0.45552248325547395,0.1407775099882207,2022-11-19,0,92,14,2,11,149.48728
0.27700415951658114,0.7655857647788846,0.5000881166678064,0.5018033474163885,0.5031078353983321,0.5090618967182646,0.5121207295891655,0.4725207375627293,0.5110608914393152,0.5130002374809091,0.4725207375627293,0.47501473600221594,0.14479256726701303,2022-11-20,0,93,14,2,11,151.44879
0.27209874263218853,0.7705798576646623,0.5066500652277445,0.5018033474163885,0.503636803033622,0.5090618967182646,0.5122890553997815,0.4725207375627293,0.5110608914393152,0.5128933965232247,0.4725207375627293,0.4530764880841242,0.14028778909784295,2022-11-21,0,94,14,2,11,150.62559
0.26732175786215195,0.7755222993468404,0.5038961684571233,0.5000881166678064,0.5007172442512405,0.5090618967182646,0.5133416138961692,0.4725207375627293,0.5110608914393152,0.5132207586376258,0.4725207375627293,0.46523311874941026,0.14276746536740664,2022-11-22,0,95,14,2,11,151.34548
0.26266984552229966,0.7804144421725301,0.5063044565356006,0.5066500652277445,0.5031763482820327,0.5090618967182646,0.5149061982770405,0.47449229619927813,0.5110608914393152,0.5137359336285564,0.47449229619927813,0.4647181267874443,0.14265709575909322,2022-11-23,0,96,14,2,11,152.0
